num_posts,num_c_with,num_c,indicator
8,5,44,0.625
4,0,27,0.0
5,3,40,0.6
0,0,0,
4,0,11,0.0
5,0,28,0.0
7,6,38,0.8571428571428571
6,3,45,0.5
1,0,3,0.0
0,0,4,
4,3,14,0.75
3,1,17,0.3333333333333333
8,1,31,0.125
6,4,38,0.6666666666666666
3,1,21,0.3333333333333333
0,0,4,
1,1,9,1.0
1,0,2,0.0
2,0,4,0.0
2,1,11,0.5
0,0,1,
2,2,16,1.0
0,0,0,
0,0,0,
4,1,9,0.25
1,0,5,0.0
2,1,5,0.5
1,2,14,2.0
1,0,7,0.0
2,0,6,0.0
0,0,1,
0,0,0,
0,0,0,
2,0,11,0.0
5,2,13,0.4
2,4,23,2.0
2,1,10,0.5
2,1,17,0.5
1,0,10,0.0
6,5,39,0.8333333333333334
2,2,13,1.0
5,2,30,0.4
7,3,54,0.42857142857142855
0,2,4,inf
2,1,10,0.5
1,0,1,0.0
3,3,21,1.0
1,0,4,0.0
0,0,5,
1,0,2,0.0
0,0,4,
0,0,0,
4,1,12,0.25
2,2,11,1.0
2,0,5,0.0
3,0,9,0.0
0,0,4,
1,0,5,0.0
0,0,0,
1,1,10,1.0
2,0,15,0.0
5,4,8,0.8
1,0,10,0.0
1,0,2,0.0
3,3,22,1.0
1,1,1,1.0
4,0,6,0.0
1,1,13,1.0
4,1,12,0.25
0,0,0,
2,0,17,0.0
2,0,12,0.0
1,0,7,0.0
1,0,1,0.0
0,0,1,
2,0,10,0.0
1,1,4,1.0
0,0,0,
0,0,0,
1,1,9,1.0
3,1,15,0.3333333333333333
2,0,2,0.0
1,0,1,0.0
6,6,43,1.0
1,1,6,1.0
0,0,0,
3,1,21,0.3333333333333333
0,0,0,
4,0,17,0.0
5,3,33,0.6
0,0,9,
0,0,0,
1,0,0,0.0
0,0,0,
2,0,10,0.0
1,0,3,0.0
2,0,4,0.0
1,0,3,0.0
5,1,32,0.2
1,0,6,0.0
0,0,1,
4,0,11,0.0
3,1,13,0.3333333333333333
2,0,11,0.0
2,0,20,0.0
1,1,13,1.0
3,1,18,0.3333333333333333
1,0,1,0.0
1,0,1,0.0
1,0,0,0.0
3,1,22,0.3333333333333333
0,1,6,inf
1,0,1,0.0
2,0,8,0.0
0,1,4,inf
1,0,8,0.0
0,0,0,
3,4,26,1.3333333333333333
4,3,33,0.75
1,1,10,1.0
0,0,0,
0,0,0,
2,1,3,0.5
2,1,3,0.5
1,0,2,0.0
5,4,25,0.8
2,1,16,0.5
1,0,10,0.0
0,0,0,
5,4,32,0.8
2,0,7,0.0
