num_posts,num_c_with,num_c,indicator,date_num,date
5,0,13,0.0,19048,2022-02-25
2,0,3,0.0,19049,2022-02-26
2,1,15,0.5,19050,2022-02-27
6,0,7,0.0,19051,2022-02-28
1,2,7,2.0,19052,2022-03-01
2,0,3,0.0,19053,2022-03-02
4,2,6,0.5,19054,2022-03-03
2,0,0,0.0,19055,2022-03-04
4,0,3,0.0,19056,2022-03-05
2,0,0,0.0,19057,2022-03-06
4,0,11,0.0,19058,2022-03-07
2,5,29,2.5,19059,2022-03-08
2,2,7,1.0,19060,2022-03-09
3,0,4,0.0,19061,2022-03-10
1,0,2,0.0,19062,2022-03-11
3,1,5,0.3333333333333333,19063,2022-03-12
3,0,7,0.0,19064,2022-03-13
3,0,13,0.0,19065,2022-03-14
2,0,1,0.0,19066,2022-03-15
3,2,23,0.6666666666666666,19067,2022-03-16
5,0,5,0.0,19068,2022-03-17
3,0,5,0.0,19069,2022-03-18
4,2,18,0.5,19070,2022-03-19
1,1,5,1.0,19071,2022-03-20
5,0,7,0.0,19072,2022-03-21
3,0,4,0.0,19073,2022-03-22
4,0,5,0.0,19074,2022-03-23
2,1,6,0.5,19075,2022-03-24
3,1,7,0.3333333333333333,19076,2022-03-25
1,0,4,0.0,19077,2022-03-26
1,0,1,0.0,19078,2022-03-27
4,0,3,0.0,19079,2022-03-28
0,0,2,,19080,2022-03-29
1,0,2,0.0,19081,2022-03-30
3,1,4,0.3333333333333333,19082,2022-03-31
1,0,0,0.0,19083,2022-04-01
1,0,4,0.0,19084,2022-04-02
3,0,21,0.0,19085,2022-04-03
3,1,13,0.3333333333333333,19086,2022-04-04
3,0,7,0.0,19087,2022-04-05
1,0,1,0.0,19088,2022-04-06
2,0,1,0.0,19089,2022-04-07
2,0,2,0.0,19090,2022-04-08
0,0,1,,19091,2022-04-09
0,0,0,,19092,2022-04-10
2,1,2,0.5,19093,2022-04-11
1,0,3,0.0,19094,2022-04-12
1,0,3,0.0,19095,2022-04-13
1,1,6,1.0,19096,2022-04-14
4,0,11,0.0,19097,2022-04-15
2,0,19,0.0,19098,2022-04-16
0,0,12,,19099,2022-04-17
2,1,6,0.5,19100,2022-04-18
0,0,1,,19101,2022-04-19
0,0,0,,19102,2022-04-20
2,0,3,0.0,19103,2022-04-21
0,0,2,,19104,2022-04-22
1,0,3,0.0,19105,2022-04-23
0,0,3,,19106,2022-04-24
3,0,1,0.0,19107,2022-04-25
2,0,2,0.0,19108,2022-04-26
3,0,6,0.0,19109,2022-04-27
1,0,4,0.0,19110,2022-04-28
1,0,2,0.0,19111,2022-04-29
0,0,1,,19112,2022-04-30
0,0,0,,19113,2022-05-01
3,4,18,1.3333333333333333,19114,2022-05-02
8,7,124,0.875,19115,2022-05-03
5,7,32,1.4,19116,2022-05-04
4,3,49,0.75,19117,2022-05-05
3,3,19,1.0,19118,2022-05-06
4,3,24,0.75,19119,2022-05-07
5,2,49,0.4,19120,2022-05-08
1,4,25,4.0,19121,2022-05-09
2,2,24,1.0,19122,2022-05-10
4,3,26,0.75,19123,2022-05-11
5,1,30,0.2,19124,2022-05-12
5,4,62,0.8,19125,2022-05-13
5,3,31,0.6,19126,2022-05-14
2,0,21,0.0,19127,2022-05-15
1,1,11,1.0,19128,2022-05-16
3,4,31,1.3333333333333333,19129,2022-05-17
7,3,66,0.42857142857142855,19130,2022-05-18
2,3,10,1.5,19131,2022-05-19
2,0,21,0.0,19132,2022-05-20
0,0,5,,19133,2022-05-21
1,0,1,0.0,19134,2022-05-22
10,0,26,0.0,19135,2022-05-23
3,1,22,0.3333333333333333,19136,2022-05-24
6,1,67,0.16666666666666666,19137,2022-05-25
13,2,46,0.15384615384615385,19138,2022-05-26
11,2,54,0.18181818181818182,19139,2022-05-27
7,3,44,0.42857142857142855,19140,2022-05-28
7,0,60,0.0,19141,2022-05-29
9,5,36,0.5555555555555556,19142,2022-05-30
14,5,56,0.35714285714285715,19143,2022-05-31
12,1,21,0.08333333333333333,19144,2022-06-01
21,4,101,0.19047619047619047,19145,2022-06-02
18,6,109,0.3333333333333333,19146,2022-06-03
14,9,84,0.6428571428571429,19147,2022-06-04
3,6,28,2.0,19148,2022-06-05
12,2,49,0.16666666666666666,19149,2022-06-06
12,1,47,0.08333333333333333,19150,2022-06-07
13,3,64,0.23076923076923078,19151,2022-06-08
12,7,68,0.5833333333333334,19152,2022-06-09
16,10,93,0.625,19153,2022-06-10
6,1,30,0.16666666666666666,19154,2022-06-11
5,4,32,0.8,19155,2022-06-12
11,1,47,0.09090909090909091,19156,2022-06-13
16,3,65,0.1875,19157,2022-06-14
9,3,37,0.3333333333333333,19158,2022-06-15
10,7,50,0.7,19159,2022-06-16
15,8,87,0.5333333333333333,19160,2022-06-17
3,2,48,0.6666666666666666,19161,2022-06-18
3,2,35,0.6666666666666666,19162,2022-06-19
13,5,111,0.38461538461538464,19163,2022-06-20
13,6,135,0.46153846153846156,19164,2022-06-21
10,2,60,0.2,19165,2022-06-22
8,4,45,0.5,19166,2022-06-23
6,2,30,0.3333333333333333,19167,2022-06-24
7,8,66,1.1428571428571428,19168,2022-06-25
4,0,37,0.0,19169,2022-06-26
15,12,220,0.8,19170,2022-06-27
14,6,139,0.42857142857142855,19171,2022-06-28
16,2,120,0.125,19172,2022-06-29
5,1,61,0.2,19173,2022-06-30
4,1,28,0.25,19174,2022-07-01
5,1,49,0.2,19175,2022-07-02
5,2,56,0.4,19176,2022-07-03
10,3,71,0.3,19177,2022-07-04
8,2,49,0.25,19178,2022-07-05
5,3,50,0.6,19179,2022-07-06
6,2,39,0.3333333333333333,19180,2022-07-07
9,6,58,0.6666666666666666,19181,2022-07-08
7,1,20,0.14285714285714285,19182,2022-07-09
7,2,75,0.2857142857142857,19183,2022-07-10
7,6,35,0.8571428571428571,19184,2022-07-11
7,1,66,0.14285714285714285,19185,2022-07-12
13,2,77,0.15384615384615385,19186,2022-07-13
10,5,47,0.5,19187,2022-07-14
9,13,53,1.4444444444444444,19188,2022-07-15
3,1,14,0.3333333333333333,19189,2022-07-16
5,1,25,0.2,19190,2022-07-17
11,5,59,0.45454545454545453,19191,2022-07-18
19,14,103,0.7368421052631579,19192,2022-07-19
8,10,75,1.25,19193,2022-07-20
12,5,66,0.4166666666666667,19194,2022-07-21
12,4,63,0.3333333333333333,19195,2022-07-22
6,4,38,0.6666666666666666,19196,2022-07-23
4,0,29,0.0,19197,2022-07-24
2,4,36,2.0,19198,2022-07-25
6,0,66,0.0,19199,2022-07-26
11,1,37,0.09090909090909091,19200,2022-07-27
8,9,77,1.125,19201,2022-07-28
9,8,71,0.8888888888888888,19202,2022-07-29
7,2,40,0.2857142857142857,19203,2022-07-30
4,2,53,0.5,19204,2022-07-31
9,9,106,1.0,19205,2022-08-01
9,5,54,0.5555555555555556,19206,2022-08-02
13,6,51,0.46153846153846156,19207,2022-08-03
8,12,53,1.5,19208,2022-08-04
4,1,26,0.25,19209,2022-08-05
3,2,24,0.6666666666666666,19210,2022-08-06
4,6,46,1.5,19211,2022-08-07
5,1,26,0.2,19212,2022-08-08
7,1,76,0.14285714285714285,19213,2022-08-09
7,2,40,0.2857142857142857,19214,2022-08-10
10,0,64,0.0,19215,2022-08-11
7,7,48,1.0,19216,2022-08-12
1,1,12,1.0,19217,2022-08-13
3,0,4,0.0,19218,2022-08-14
8,7,70,0.875,19219,2022-08-15
6,2,16,0.3333333333333333,19220,2022-08-16
4,4,39,1.0,19221,2022-08-17
8,11,72,1.375,19222,2022-08-18
6,3,51,0.5,19223,2022-08-19
5,4,39,0.8,19224,2022-08-20
6,2,51,0.3333333333333333,19225,2022-08-21
7,0,22,0.0,19226,2022-08-22
11,6,79,0.5454545454545454,19227,2022-08-23
4,3,26,0.75,19228,2022-08-24
7,5,52,0.7142857142857143,19229,2022-08-25
10,12,78,1.2,19230,2022-08-26
2,6,25,3.0,19231,2022-08-27
8,10,91,1.25,19232,2022-08-28
6,5,43,0.8333333333333334,19233,2022-08-29
10,12,46,1.2,19234,2022-08-30
8,12,68,1.5,19235,2022-08-31
12,6,67,0.5,19236,2022-09-01
10,7,77,0.7,19237,2022-09-02
4,3,36,0.75,19238,2022-09-03
